"Subject"	"Q1.a"	"Q1.b"	"Q1.c"	"Q1.d"	"Q1.e"	"Q2.a"	"Q2.b"	"Q2.c"	"Q2.d"	"Q2.e"	"Q2.f"	"Q2.g"	"Q2.h"	"Suspected"	"Game.affect.distraction"	"Surprise"	"Station"	"Condition"	"Game.1"	"Game.2"	"Game.3"	"Game.4"	"Game.5"	"Game.6"	"RA"	"goodSession"	"Assignment"	"irritated"	"happy"	"angered"	"helpful"	"pleased"	"annoyed"	"easy.nav"	"excited"	"engaged"	"challenging"	"stressful"	"violence"	"diff.nav"	"reflexes"	"satisfying"	"effective"	"difficult"	"good.fight"	"hard.control"	"mental.effort"	"comfort.control"	"exhausting"	"aggressed"	"enjoyed"	"often.played"	"FPS.experience"	"FPS.skill"	"mkb.experience"	"vg.freq"	"vg.cumul"	"age"	"race"	"race2"	"year"	"GPA"	"knew.others"	"knew.partner"	"gender"	"rating1"	"rating2"	"rating3"	"rating4"	"rating5"	"rating6"	"L_ring_length"	"L_ring_angle"	"L_index_length"	"L_index_angle"	"R_index_length"	"R_index_angle"	"R_ring_length"	"R_ring_angle"	"DV"	"Violence"	"Difficulty"	"L2d4d"	"R2d4d"
344	0	1	0	0	0	1	0	0	0	0	0	0	0	3	"No"	"Yes"	4	4	4	338	4	1239	68	105	"EW"	"Yes"	9	7	1	4	1	1	4	6	3	5	4	1	1	1	5	5	7	2	3	4	1	6	1	2	5	1	7	7	4	6	7	18	5	NA	1	NA	"Yes"	"No"	"M"	NA	NA	NA	NA	NA	NA	935.4	87.58	872.3	88.555	873.65	87.08	942.75	88.785	9	"Less Violent"	"Hard"	0.932542227923883	0.926703792097587
345	0	0	0	1	0	1	0	0	0	0	0	0	0	NA	NA	NA	1	1	0	525	16	575	263	0	"AS"	"Yes"	9	5	2	4	1	1	5	7	6	7	1	1	2	1	1	6	6	2	1	1	2	7	1	4	7	5	7	6	7	7	7	18	5	NA	1	3.7	"Yes"	"Yes"	"M"	NA	NA	NA	NA	NA	NA	895.4	85.035	853.15	88.995	871.65	88.98	886.45	84.045	9	"Violent"	"Easy"	0.952814384632566	0.98330419087371
346	0	1	1	0	0	1	0	0	0	0	0	0	0	4	"No"	"Maybe"	4	2	0	345	11	1361	103	30	"EW"	NA	6	5	1	4	4	3	4	7	6	6	2	2	7	1	6	6	7	3	3	1	3	7	3	5	6	5	7	7	7	6	6	18	1	NA	1	3.79	"Yes"	"Yes"	"M"	NA	NA	NA	NA	NA	NA	821.3	86.895	809.45	87.24	813.3	88.485	819.95	83.38	6	"Violent"	"Hard"	0.985571654693778	0.991889749374962
347	0	1	0	0	0	1	1	1	0	0	0	0	0	3	"No"	"No"	1	3	0	460	16	0	457	0	"AS"	NA	9	7	2	5	1	2	2	7	3	4	1	5	4	1	1	5	7	3	1	1	3	5	6	3	4	6	7	7	1	6	5	18	2	NA	1	3.35	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	997.5	86.01	978.05	88.1	955.55	88.11	980.8	82.115	9	"Less Violent"	"Easy"	0.980501253132832	0.974255709624796
349	0	0	1	1	0	1	1	0	1	0	0	0	0	4	"No"	"Yes"	4	1	0	401	13	1702	147	0	"VP"	NA	9	4	3	5	1	3	6	6	5	5	1	1	6	3	3	4	5	3	1	2	1	6	5	3	4	2	6	4	3	2	3	19	5	NA	1	3.8	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	991.6	84.475	967.45	88.285	926.85	87.56	972.6	85.815	9	"Violent"	"Easy"	0.975645421540944	0.952961135101789
350	1	0	0	0	1	0	1	0	1	1	1	0	0	3	"No"	"No"	1	2	1	238	6	366	100	88	"JL"	"Yes"	9	5	4	1	1	4	5	6	4	5	1	1	5	1	6	6	7	2	3	1	2	7	1	2	5	2	7	7	4	5	6	18	5	NA	1	3	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	895.85	83.175	870	89.835	848.4	88.175	901.1	87.2	9	"Violent"	"Hard"	0.971144722888876	0.941515924980579
352	1	1	1	0	0	1	0	0	0	0	0	0	0	2	"No"	"No"	4	4	1	295	7	1427	77	70	"EW"	"Yes"	9	1	4	1	1	4	1	7	5	6	5	2	1	1	6	6	6	2	5	6	6	6	2	4	6	5	7	4	4	7	7	19	5	NA	1	3.5	"Yes"	"No"	"M"	NA	NA	NA	NA	NA	NA	940.3	77.5	939.2	88.965	946.3	83.965	960.5	85.13	9	"Less Violent"	"Hard"	0.998830160587047	0.985216033315981
353	0	1	0	0	0	1	0	0	0	0	0	0	0	1	"No"	"Yes"	1	1	0	427	14	376	239	0	"HG"	"Yes"	5	6	2	5	2	2	7	7	5	5	2	1	3	1	2	5	7	1	1	2	1	6	1	3	5	4	6	5	3	6	6	18	5	NA	1	3.7	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	958.25	77.49	906.45	86.775	906.1	87.945	974.05	83.37	5	"Violent"	"Easy"	0.945943125489173	0.930239720753555
354	0	0	1	0	0	1	0	0	0	0	0	1	0	3	"No"	"Yes"	1	2	4	309	7	1309	99	88	"AS"	"Yes"	3	7	1	6	1	1	7	6	4	6	4	2	1	1	5	3	3	5	5	1	5	7	1	1	5	5	7	5	5	4	6	19	5	NA	1	3.75	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	892.4	84.985	908.95	88.325	905.8	86.36	922.4	81.805	3	"Violent"	"Hard"	1.01854549529359	0.982003469210755
355	0	1	0	1	1	1	1	1	0	0	0	1	0	2	"Maybe"	"No"	1	3	0	436	15	2241	43	0	"AS"	"Yes"	6	6	2	1	1	1	4	7	1	NA	1	1	5	1	1	5	6	5	2	3	2	7	6	2	1	2	7	6	6	6	6	19	5	NA	1	3.9	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	893.5	83.385	857.05	89.595	861.1	89.2	877.3	84.01	6	"Less Violent"	"Easy"	0.959205372132065	0.981534252821156
356	1	1	1	1	1	1	0	0	0	0	1	0	0	2	"No"	"No"	4	4	5	344	4	1217	112	112	"EW"	"Yes"	9	4	4	4	1	4	4	6	4	6	3	2	2	3	4	5	5	3	5	4	2	6	3	4	5	3	5	5	2	5	5	19	5	NA	2	2.8	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	1033.5	88.17	1008.45	84.65	1029.25	86.66	1006.05	88.17	9	"Less Violent"	"Hard"	0.975761973875181	1.02306048407137
359	0	0	0	1	0	1	0	0	0	0	0	0	0	3	"No"	"Yes"	1	3	0	564	13	2411	132	0	"JL"	"Yes"	6	5	3	4	1	3	4	7	4	3	1	1	2	2	1	1	2	5	1	1	1	7	1	1	3	1	7	7	7	7	7	18	5	NA	1	3.8	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	945.3	86.485	905.45	84.325	926.5	88.305	969.2	83.275	6	"Less Violent"	"Easy"	0.957844070665397	0.955943045810978
360	0	1	0	0	0	0	0	0	0	0	1	0	0	3	"Maybe"	"No"	1	4	6	343	7	1202	147	107	"JL"	"Yes"	6	6	3	2	1	4	4	5	6	6	6	5	5	1	3	6	6	4	3	5	3	6	2	5	7	2	7	7	3	6	7	19	5	NA	1	2.9	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	909.15	80.245	839	89.73	855.65	88.96	923.15	83.94	6	"Less Violent"	"Hard"	0.922840015398999	0.926880788604236
361	0	0	0	1	0	0	0	0	0	0	0	1	0	2	"No"	"No"	4	1	0	511	17	993	228	0	"VP"	"Yes"	4	4	4	6	1	1	7	7	6	7	1	1	7	1	4	7	7	1	1	2	2	7	2	5	5	5	7	6	7	7	7	21	3	NA	3	2.9	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	926.1	85.76	934.45	85.455	939.6	83.095	936.2	89.12	4	"Violent"	"Easy"	1.00901630493467	1.00363170262764
362	0	1	0	0	0	0	0	0	0	0	0	0	1	4	"Maybe"	"No"	1	2	1	300	7	1314	83	70	"JL"	"Yes"	3	4	2	5	1	1	3	7	5	6	1	1	4	1	5	5	5	5	5	2	6	7	2	1	5	5	7	7	7	7	7	19	5	NA	1	3.2	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	856.55	80.025	831.95	88.315	851.1	89.25	851.35	82.27	3	"Violent"	"Hard"	0.971280135427004	0.999706348740236
363	1	1	0	1	1	1	0	0	0	0	0	0	0	5	"No"	"No"	1	3	0	365	12	415	244	0	"JL"	"Yes"	3	4	4	1	1	1	4	7	5	6	1	1	6	1	3	5	7	1	1	2	3	7	1	3	4	2	6	5	5	4	4	19	5	NA	1	4.1	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	914.65	87.165	838.55	87.985	845.9	87.29	914.65	84.885	3	"Less Violent"	"Easy"	0.916798775487892	0.924834636199639
364	1	1	0	0	0	1	0	0	0	0	1	1	0	5	"No"	"No"	4	4	0	298	10	847	150	65	"EW"	"Yes"	5	5	3	5	7	3	5	7	6	6	3	5	3	2	2	5	6	2	2	2	4	7	2	5	5	5	7	6	6	3	7	19	5	NA	1	4	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	917.4	87.565	896.75	86.11	898.75	88.725	905.3	83.245	5	"Less Violent"	"Hard"	0.977490734684979	0.992764829338341
365	NA	NA	0	NA	1	0	0	0	NA	0	1	1	0	NA	NA	NA	1	1	0	388	16	504	226	0	"HG"	"Yes"	4	3	1	6	3	2	5	6	6	6	2	3	6	2	4	5	5	2	2	3	4	6	3	5	5	4	6	6	5	3	5	19	5	NA	1	3.82	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	927.5	88.335	922.6	83.715	918.8	88.595	957.8	84.305	4	"Violent"	"Easy"	0.994716981132076	0.959281687199833
