"Subno"	"L2d4d"	"R2d4d"	"L_ring_length"	"L_ring_angle"	"L_index_length"	"L_index_angle"	"R_index_length"	"R_index_angle"	"R_ring_length"	"R_ring_angle"	"nCoders"	"julNotes"	"racNotes"	"tayNotes"
1	0.959378079491952	0.962846959714872	913.3	88.62	876.2	85.09	891.5	86.72	925.9	87.46	1	NA	NA	NA
2	0.920226130653266	0.899063689680008	955.2	88.98	879	76.58	873.8	74.74	971.9	87.52	1	NA	NA	NA
3	0.967241012550521	0.967859438611528	940.2	87.07	909.4	79.8	903.4	81.28	933.4	86.87	1	NA	NA	NA
4	1.01465872652313	1.01575074729823	873.2	88.2	886	77.22	883.5	79.24	869.8	86.31	1	NA	NA	NA
5	1.01121495327103	0.994408945686901	856	89.93	865.6	79.82	871.5	78.82	876.4	86.73	1	NA	NA	NA
6	0.994397451389652	0.95134414574539	910.3	88.62	905.2	87.02	856.4	86.72	900.2	88.73	1	NA	NA	NA
7	0.966316025067144	0.941019955654102	893.6	87.88	863.5	85.62	848.8	71.95	902	82.87	1	NA	NA	NA
8	0.891656823794696	1.14639449208842	931.3	88.52	830.4	85.65	949.1	86.19	827.9	83.13	1	NA	NA	NA
9	0.941086457536343	0.957871396895787	914.9	82.46	861	83.8	864	89.6	902	89.87	1	NA	NA	NA
10	0.937802197802198	0.939364356220848	910	87.35	853.4	88.25	866	89.67	921.9	82.02	1	NA	NA	NA
11	0.926873275313097	0.936794344201752	942.2	86.04	873.3	85.8	887.8	87.61	947.7	87.82	1	NA	NA	NA
12	0.968520220588235	0.973732718894009	870.4	85.78	843	89.73	845.2	88.78	868	83.85	1	NA	NA	NA
13	0.972574850299401	0.962858153519632	835	83.12	812.1	88.94	816.6	87.82	848.1	85.13	1	NA	NA	NA
14	0.911433172302738	0.906589595375723	869.4	86.74	792.4	79.46	784.2	77.63	865	85.23	1	NA	NA	NA
15	0.950840579710145	0.902690829214717	862.5	85.68	820.1	81.45	821.9	84.41	910.5	88.05	1	NA	NA	NA
16	1.00303383897316	0.994672843080486	857	89.53	859.6	78.39	858.9	76.74	863.5	82.95	1	NA	NA	NA
17	0.965113782739373	0.958792679011024	931.6	83.16	899.1	89.11	895.8	87.5	934.3	80.33	1	NA	NA	NA
18	0.985921889191644	0.915449566408033	880.8	79.47	868.4	88.35	802.3	84.06	876.4	88.3	1	NA	NA	NA
19	0.992748783513024	0.977180191269766	1048.1	89.4	1040.5	73.18	1032	83.83	1056.1	80.3	1	NA	NA	NA
20	1.01837655016911	1.00941281936351	887	89.48	903.3	82.24	900.8	84.71	892.4	88.33	1	NA	NA	NA
21	0.933795322361094	0.920931360659714	808.1	89.01	754.6	80.39	759.4	76.06	824.6	85.41	1	NA	NA	NA
22	0.946476170167395	0.957071848169905	937.9	87.49	887.7	82.95	847.2	84.31	885.2	85.98	1	NA	NA	NA
23	0.977216886307795	0.972736231249316	895.4	88.27	875	81.32	888.4	85.8	913.3	85.1	1	NA	NA	NA
24	0.94685534591195	0.945383347073372	954	84.1	903.3	83.77	917.4	78.81	970.4	88.41	1	NA	NA	NA
25	1.00433266406002	1.01293717794102	946.3	86.97	950.4	86.92	923.9	84.1	912.1	89.31	1	NA	NA	NA
26	0.925	0.901973066082055	932	85.38	862.1	89.27	864	87.21	957.9	86.3	1	NA	NA	NA
27	0.973931674800619	0.951398601398601	840.1	85.97	818.2	76.93	816.3	69.79	858	87.26	1	NA	NA	NA
28	0.929913125146748	0.989916594049546	851.8	82.24	792.1	81.29	795.2	79.93	803.3	84.79	1	NA	NA	NA
29	0.955555555555556	0.938620689655172	864	89.87	825.6	84.65	816.6	82.68	870	86.11	1	NA	NA	NA
30	0.982321041214751	0.968574514038877	922	89.44	905.7	82.07	896.9	86.23	926	89.51	1	NA	NA	NA
31	0.924574492888785	0.980049261083744	857.8	86.32	793.1	73.9	795.8	75.37	812	89.65	1	NA	NA	NA
32	0.95712605581097	0.947619564038607	935.3	88.47	895.2	76.37	873.8	80.98	922.1	87.14	1	NA	NA	NA
33	0.916860465116279	1.01757066462949	860	83.26	788.5	87.89	799.2	86.84	785.4	85.55	1	NA	NA	NA
34	0.926658767772512	0.949792776791001	844	84.42	782.1	88.9	802.1	84.28	844.5	88.1	1	NA	NA	NA
35	1.00535733419051	1.04258963233615	933.3	88.59	938.3	77.64	913.1	82.83	875.8	87.58	1	NA	NA	NA
36	0.941385231825987	0.931740614334471	873.5	85.67	822.3	86.72	819	83.06	879	89.67	1	NA	NA	NA
37	0.993446628901477	0.97521230204269	900.3	88.54	894.4	88.21	849.8	86.22	871.4	88.36	1	NA	NA	NA
38	0.960655737704918	0.958290946083418	976	89.65	937.6	81.78	942	89.76	983	83.69	1	NA	NA	NA
39	0.936694924584388	0.937555163283319	908.3	88.49	850.8	87.51	849.8	82.22	906.4	88.36	1	"Left index finger distorted"	NA	NA
40	0.971783047870004	0.931835047174812	910.8	84.14	885.1	89.22	879	90	943.3	82.37	1	NA	NA	NA
41	0.994850669412976	1.00085535069378	1068.1	77.56	1062.6	88.06	1053.1	83.35	1052.2	86.02	1	NA	NA	NA
42	0.974080902288255	0.992164859933455	922.1	89.13	898.2	88.5	924.4	88.3	931.7	86.55	1	NA	NA	NA
43	0.949661294090166	0.946929316338355	856.2	86.99	813.1	89.3	817.2	83.54	863	87.21	1	NA	NA	NA
44	0.938758151403459	0.963429752066116	1058.1	86.37	993.3	86.13	932.6	87.97	968	84.78	1	NA	NA	NA
45	0.950325524170811	0.969831594172952	975.35	85.645	926.9	86.35	938.7	81.33	967.9	85.98	2	NA	NA	NA
46	0.9784879383238	0.97544080604534	804.2	88.72	786.9	79.605	774.5	80.56	794	88.05	2	NA	NA	NA
47	0.988036756631798	0.964245304367504	865.15	88.875	854.8	80.675	852.2	88.79	883.8	81.935	2	NA	NA	NA
48	0.906452844597174	0.911515218717082	916.65	87.155	830.9	88.24	822.05	89.23	901.85	87.555	2	NA	NA	NA
49	0.928905727657678	0.962536673437147	897.4	85.015	833.6	86.42	853	89.565	886.2	86.555	2	NA	NA	NA
50	0.954072022160665	0.963045538152834	902.5	87.365	861.05	73.95	863.9	70.24	897.05	78.815	2	NA	NA	NA
51	0.98454490257769	0.951655338741504	905.85	85.125	891.85	88.68	868.1	89.04	912.2	81.235	2	NA	NA	NA
52	1.01136975242196	1.00061462814997	743.2	88.61	751.65	85.72	732.6	81.485	732.15	86.205	2	NA	NA	NA
53	0.942847499578106	0.953958841995117	888.85	85.91	838.05	85.59	820.5	89.825	860.1	81.01	2	NA	NA	NA
